institution,name,rank,area,degree,degree_year,school,start,annotation,listing
Abilene Christian Univ,"Lytle, Richard S.",Dean,Mktg,PHD,94,Ariz St,1991,,
Abilene Christian Univ,"Fowler, Bill E.",C-As,,MS,83,Walsh,1990,,
Abilene Christian Univ,"Griggs, Jack A.",Prof,FMPX,PHD,71,Tx-Austin,1-91,,
Abilene Christian Univ,"Pope, Terry",Assoc,C,PHD,69,So Meth,8-92,,
Abilene Christian Univ,"Stewart, Jonathan",Asst,LMPY,PHD,96,Tx Tech,9-96,,
Adelphi University,"Libertella, Anthony F.",Dean,Mgt,PHD,72,Ohio St,2000,,1998-1999
Adelphi University,"Swensen, R. Bruce",Assoc,M,DSW,82,Columbia,,,1998-1999
Adelphi University,"Heinowitz, Harvey J.",Asst,T,MBA,75,Adelphi,,,1998-1999
Adrian College,"Bachman, William",C-Pr,LNQ,ABD,73,Kentucky,8-81,,2000-2001
Adrian College,"Nalepka, William T.",Asst,,MBA,76,E Mich,8-96,,2000-2001
University of Akron,"Hallam, Stephen F.",Dean,Mgt,PHD,74,Iowa,7-95,,
University of Akron,"Redle, David A.",C-Pr,,JD,80,Akron,,,
University of Akron,"Akhigbe, Aigbe",Prof,DGPS,PHD,91,Houston,2000,,
University of Akron,"Durst, David R.",Prof,PR,DBA,72,Geo St,9-68,,
University of Akron,"Kudla, Ronald J.",Prof,DFG,PHD,78,Pittsburgh,1978,,
University of Akron,"Kahl, Douglas R.",Assoc,LMN,PHD,81,Iowa,9-89,,
University of Akron,"Lahey, Karen E.",Assoc,&,PHD,85,Fla St,1991,Charles Herberich Associate Professor of Real Estate,
University of Akron,"Ramcharran, Harridutt",Assoc,UVW,PHD,78,SUNY-Bin,9-86,,
University of Akron,"Kim, D.",Asst,VWJ,PHD,0,Drexel,2000,,
University of Akron,"Neuman, Melinda",Asst,CDEG,PHD,0,Mich St,2000,,
University of Akron,"Hruby, George",Inst,,MBA,97,Clev St,1997,,
